CARGO_THEFT_RECORD_TYPE,ORI,AGENCY_NAME,INCIDENT_NUMBER,INCIDENT_DATE,DATA_SOURCE,REPORT_DATE_INDICATOR,INCIDENT_HOUR,CLEARED_EXCEPTIONALLY_INDICATOR,UCR_OFFENSE_CODE_1,LOCATION_CODE_1,UCR_OFFENSE_CODE_2,LOCATION_CODE_2,UCR_OFFENSE_CODE_3,LOCATION_CODE_3,UCR_OFFENSE_CODE_4,LOCATION_CODE_4,UCR_OFFENSE_CODE_5,LOCATION_CODE_5,UCR_OFFENSE_CODE_6,LOCATION_CODE_6,UCR_OFFENSE_CODE_7,LOCATION_CODE_7,UCR_OFFENSE_CODE_8,LOCATION_CODE_8,UCR_OFFENSE_CODE_9,LOCATION_CODE_9,UCR_OFFENSE_CODE_10,LOCATION_CODE_10,WEAPON_TYPE_1,WEAPON_AUTOMATIC_INDICATOR_1,VICTIM_TYPE_1,STOLEN_PROPERTY_DESCRIPTION_1
IR,AK0010300,JUNEAU,Z82XWIOKL6ZS,20221209,N,,11.0,,23F,20.0,,,,,,,,,,,,,,,,,,,,,,
IR,AK0010900,SITKA,CT0BRFBM728N,20220927,N,,0.0,,23H,20.0,,,,,,,,,,,,,,,,,,,,,,
IR,AK0010900,SITKA,CT0BRFZC728N,20220913,N,,0.0,,23H,20.0,,,,,,,,,,,,,,,,,,,,,,
IR,AK0010900,SITKA,CT0BROQL728N,20220427,N,,20.0,,23F,45.0,,,,,,,,,,,,,,,,,,,,,,
IR,AK0010900,SITKA,CT0BRY3-728N,20220810,N,,0.0,,23F,42.0,,,,,,,,,,,,,,,,,,,,,,
IR,AKAST0100,ALASKA STATE TROOPERS,IH20RVK-7G I,20221109,N,,21.0,,23F,13.0,,,,,,,,,,,,,,,,,,,,,,
IR,AL0010000,JEFFERSON,2W2JPU7Z7G2W,20220413,N,,15.0,,23H,13.0,,,,,,,,,,,,,,,,,,,,,,
IR,AL0010000,JEFFERSON,2W2JPU7Z876R,20220314,N,,12.0,,23H,13.0,,,,,,,,,,,,,,,,,,,,,,
IR,AL0010000,JEFFERSON,82C2GBB9KCC3,20220601,N,,13.0,,23H,20.0,290,13.0,,,,,,,,,,,,,,,,,,,,
IR,AL0010000,JEFFERSON,-O3 6QNFVSOU,20220807,N,,4.0,,23F,20.0,240,20.0,280,13.0,,,,,,,,,,,,,,,,,,
IR,AL0010100,BESSEMER,010EYQCSGUT9,20220311,N,,23.0,,23H,14.0,,,,,,,,,,,,,,,,,,,,,,
IR,AL0010100,BESSEMER,0D0-EDPGC9QQ,20220804,N,,16.0,,23H,20.0,,,,,,,,,,,,,,,,,,,,,,
IR,AL0010100,BESSEMER,0Z8ETQ2NEDGN,20220504,N,,7.0,,23H,19.0,,,,,,,,,,,,,,,,,,,,,,
IR,AL0010100,BESSEMER,-1F7M8WAU-PL,20220811,N,,12.0,,23H,14.0,,,,,,,,,,,,,,,,,,,,,,
IR,AL0010100,BESSEMER,23B8HKA3LV22,20220214,N,,15.0,,23H,20.0,,,,,,,,,,,,,,,,,,,,,,
IR,AL0010100,BESSEMER,2P9BTH8CBD1N,20220227,N,,1.0,,23H,23.0,,,,,,,,,,,,,,,,,,,,,,
IR,AL0010100,BESSEMER,3NANK9JIH7U1,20220305,N,,2.0,,23H,48.0,,,,,,,,,,,,,,,,,,,,,,
IR,AL0010100,BESSEMER,41614K7LICMN,20220221,N,,8.0,,23H,5.0,,,,,,,,,,,,,,,,,,,,,,
IR,AL0010100,BESSEMER,4R0M0B8FZYJ9,20220823,N,,22.0,,23H,14.0,13B,14.0,,,,,,,,,,,,,,,,,40.0,,,
IR,AL0010100,BESSEMER,5BD17KUQD2HG,20220214,N,,4.0,,23H,19.0,,,,,,,,,,,,,,,,,,,,,,
IR,AL0010100,BESSEMER,7CCBRH9 TD7G,20220420,N,,18.0,,23F,20.0,,,,,,,,,,,,,,,,,,,,,,
IR,AL0010100,BESSEMER,98EQA--UL2J4,20220507,N,,0.0,,23H,13.0,,,,,,,,,,,,,,,,,,,,,,
IR,AL0010100,BESSEMER,9 9HT6NYCHQI,20221004,N,,17.0,,23H,18.0,,,,,,,,,,,,,,,,,,,,,,
IR,AL0010100,BESSEMER,-9EY2WVJURRL,20220418,N,,12.0,,23H,9.0,,,,,,,,,,,,,,,,,,,,,,
IR,AL0010100,BESSEMER,A98EH5T9193A,20221010,N,,22.0,,23H,45.0,,,,,,,,,,,,,,,,,,,,,,
IR,AL0010100,BESSEMER,AN66D-JTYOGF,20221201,N,,16.0,,23H,18.0,,,,,,,,,,,,,,,,,,,,,,
IR,AL0010100,BESSEMER,CMD37NAIMF3L,20220629,N,,18.0,,23H,18.0,,,,,,,,,,,,,,,,,,,,,,
IR,AL0010100,BESSEMER,DVB1RDM-KHHI,20220417,N,,22.0,,23H,20.0,,,,,,,,,,,,,,,,,,,,,,
IR,AL0010100,BESSEMER,EN4H4UOQI23O,20220512,N,,9.0,,23H,45.0,,,,,,,,,,,,,,,,,,,,,,
IR,AL0010100,BESSEMER,G5KOLLL0R5J,20220219,N,,20.0,,23H,19.0,,,,,,,,,,,,,,,,,,,,,,
