State,Abbreviation,FIPS,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base
Alabama,AL,1,1975,.,100,48.79,35.39
Alabama,AL,1,1976,8.19,108.19,52.79,38.29
Alabama,AL,1,1977,10.33,119.37,58.24,42.24
Alabama,AL,1,1978,7.91,128.81,62.85,45.59
Alabama,AL,1,1979,10.97,142.94,69.74,50.59
Alabama,AL,1,1980,5.11,150.24,73.3,53.17
Alabama,AL,1,1981,3.32,155.22,75.73,54.93
Alabama,AL,1,1982,-0.26,154.82,75.53,54.79
Alabama,AL,1,1983,5.18,162.84,79.45,57.63
Alabama,AL,1,1984,6.02,172.64,84.23,61.1
Alabama,AL,1,1985,2.56,177.06,86.38,62.66
Alabama,AL,1,1986,4.85,185.64,90.57,65.7
Alabama,AL,1,1987,4.09,193.23,94.27,68.38
Alabama,AL,1,1988,2.57,198.2,96.7,70.14
Alabama,AL,1,1989,1.73,201.64,98.38,71.36
Alabama,AL,1,1990,1.65,204.96,100,72.54
Alabama,AL,1,1991,2.44,209.96,102.44,74.3
Alabama,AL,1,1992,2.68,215.58,105.18,76.29
Alabama,AL,1,1993,3.28,222.65,108.63,78.8
Alabama,AL,1,1994,3.42,230.27,112.35,81.49
Alabama,AL,1,1995,4.16,239.84,117.02,84.88
Alabama,AL,1,1996,3.36,247.9,120.95,87.73
Alabama,AL,1,1997,3.74,257.18,125.48,91.02
Alabama,AL,1,1998,3.8,266.96,130.25,94.48
Alabama,AL,1,1999,2.51,273.66,133.52,96.85
Alabama,AL,1,2000,3.26,282.57,137.86,100
Alabama,AL,1,2001,4.15,294.28,143.58,104.15
Alabama,AL,1,2002,2.16,300.64,146.68,106.39
Alabama,AL,1,2003,2.3,307.54,150.04,108.84
Alabama,AL,1,2004,3.32,317.76,155.03,112.45
Alabama,AL,1,2005,6.87,339.6,165.69,120.18
Alabama,AL,1,2006,7.88,366.35,178.74,129.65
Alabama,AL,1,2007,4.12,381.43,186.1,134.99
Alabama,AL,1,2008,0.84,384.65,187.66,136.13
Alabama,AL,1,2009,-2.33,375.67,183.29,132.95
Alabama,AL,1,2010,-4.42,359.08,175.19,127.08
Alabama,AL,1,2011,-3.38,346.95,169.27,122.78
Alabama,AL,1,2012,-1.55,341.58,166.65,120.89
Alabama,AL,1,2013,-0.56,339.66,165.72,120.2
Alabama,AL,1,2014,1.31,344.12,167.89,121.78
Alabama,AL,1,2015,2.32,352.11,171.79,124.61
Alabama,AL,1,2016,2.63,361.39,176.32,127.9
Alabama,AL,1,2017,3.16,372.82,181.9,131.94
Alabama,AL,1,2018,4.42,389.3,189.94,137.77
Alabama,AL,1,2019,4.55,407.03,198.58,144.05
Alabama,AL,1,2020,4.05,423.5,206.62,149.88
Alabama,AL,1,2021,10.6,468.41,228.53,165.77
Alabama,AL,1,2022,16.08,543.72,265.28,192.42
Alabama,AL,1,2023,7.07,582.14,284.02,206.02
Alaska,AK,2,1975,.,100,57.27,38.16
Alaska,AK,2,1976,9.21,109.21,62.55,41.68
Alaska,AK,2,1977,7.88,117.82,67.48,44.96
Alaska,AK,2,1978,10.16,129.79,74.34,49.53
Alaska,AK,2,1979,11.11,144.21,82.6,55.03
Alaska,AK,2,1980,-5.28,136.59,78.23,52.12
Alaska,AK,2,1981,21.15,165.48,94.78,63.15
Alaska,AK,2,1982,24.77,206.47,118.26,78.79
Alaska,AK,2,1983,5.86,218.57,125.18,83.41
Alaska,AK,2,1984,6.77,233.36,133.66,89.05
Alaska,AK,2,1985,-5.5,220.53,126.31,84.16
Alaska,AK,2,1986,-3.71,212.34,121.62,81.03
Alaska,AK,2,1987,-14.89,180.73,103.51,68.97
Alaska,AK,2,1988,5.46,190.61,109.17,72.74
Alaska,AK,2,1989,-9.85,171.83,98.41,65.57
Alaska,AK,2,1990,1.61,174.6,100,66.63
Alaska,AK,2,1991,12.33,196.12,112.33,74.84
Alaska,AK,2,1992,3.99,203.95,116.81,77.83
Alaska,AK,2,1993,1.39,206.79,118.44,78.92
Alaska,AK,2,1994,4.04,215.15,123.23,82.1
Alaska,AK,2,1995,4.77,225.4,129.1,86.02
Alaska,AK,2,1996,4.12,234.69,134.42,89.56
Alaska,AK,2,1997,2.88,241.45,138.29,92.14
Alaska,AK,2,1998,2.38,247.21,141.59,94.34
Alaska,AK,2,1999,3.64,256.21,146.75,97.78
Alaska,AK,2,2000,2.27,262.04,150.08,100
Alaska,AK,2,2001,4.93,274.96,157.48,104.93
Alaska,AK,2,2002,4.47,287.25,164.52,109.62
Alaska,AK,2,2003,3.31,296.76,169.97,113.25
Alaska,AK,2,2004,10.29,327.3,187.46,124.9
Alaska,AK,2,2005,12.72,368.92,211.3,140.79
Alaska,AK,2,2006,10.03,405.92,232.49,154.91
Alaska,AK,2,2007,3.41,419.76,240.42,160.19
Alaska,AK,2,2008,-0.4,418.08,239.45,159.55
Alaska,AK,2,2009,-1.35,412.44,236.22,157.39
Alaska,AK,2,2010,-0.46,410.53,235.13,156.67
Alaska,AK,2,2011,0.41,412.21,236.09,157.31
Alaska,AK,2,2012,0.23,413.17,236.64,157.67
Alaska,AK,2,2013,2.61,423.94,242.81,161.78
Alaska,AK,2,2014,2.48,434.47,248.84,165.8
Alaska,AK,2,2015,3.09,447.91,256.54,170.93
Alaska,AK,2,2016,1.87,456.28,261.33,174.12
Alaska,AK,2,2017,1.34,462.4,264.84,176.46
Alaska,AK,2,2018,1.43,469,268.62,178.98
Alaska,AK,2,2019,2.11,478.9,274.29,182.76
Alaska,AK,2,2020,2.29,489.85,280.56,186.93
Alaska,AK,2,2021,6.66,522.45,299.23,199.38
Alaska,AK,2,2022,12.35,586.96,336.18,224
Alaska,AK,2,2023,6.84,627.1,359.17,239.31
Arizona,AZ,4,1975,.,100,43.56,29.24
Arizona,AZ,4,1976,3.86,103.86,45.24,30.37
Arizona,AZ,4,1977,8.94,113.14,49.28,33.08
Arizona,AZ,4,1978,15.59,130.78,56.97,38.24
Arizona,AZ,4,1979,22.35,160.02,69.7,46.79
Arizona,AZ,4,1980,11.59,178.56,77.78,52.21
Arizona,AZ,4,1981,8.04,192.91,84.03,56.4
Arizona,AZ,4,1982,-6.18,180.99,78.84,52.92
Arizona,AZ,4,1983,11.48,201.76,87.89,58.99
Arizona,AZ,4,1984,4.45,210.75,91.8,61.62
Arizona,AZ,4,1985,4.14,219.48,95.61,64.17
Arizona,AZ,4,1986,4.86,230.15,100.25,67.29
Arizona,AZ,4,1987,1.55,233.7,101.8,68.33
Arizona,AZ,4,1988,-0.9,231.61,100.89,67.72
Arizona,AZ,4,1989,-0.64,230.12,100.24,67.28
Arizona,AZ,4,1990,-0.24,229.57,100,67.12
Arizona,AZ,4,1991,2.09,234.36,102.09,68.52
Arizona,AZ,4,1992,2.03,239.11,104.16,69.91
Arizona,AZ,4,1993,1.83,243.49,106.06,71.19
Arizona,AZ,4,1994,4.74,255.03,111.09,74.57
Arizona,AZ,4,1995,6.52,271.66,118.33,79.43
Arizona,AZ,4,1996,4.16,282.97,123.26,82.74
Arizona,AZ,4,1997,4.1,294.57,128.31,86.13
Arizona,AZ,4,1998,4.32,307.3,133.86,89.85
Arizona,AZ,4,1999,4.04,319.73,139.27,93.48
Arizona,AZ,4,2000,6.97,342.01,148.98,100
Arizona,AZ,4,2001,6.02,362.62,157.95,106.02
Arizona,AZ,4,2002,4.88,380.32,165.67,111.2
Arizona,AZ,4,2003,3.94,395.3,172.19,115.58
Arizona,AZ,4,2004,11.8,441.93,192.5,129.21
Arizona,AZ,4,2005,31.69,581.97,253.5,170.16
Arizona,AZ,4,2006,17.88,686.02,298.83,200.59
Arizona,AZ,4,2007,-1.19,677.89,295.29,198.21
Arizona,AZ,4,2008,-12.15,595.5,259.4,174.12
Arizona,AZ,4,2009,-18.53,485.12,211.32,141.84
Arizona,AZ,4,2010,-13.12,421.48,183.6,123.24
Arizona,AZ,4,2011,-10.77,376.08,163.82,109.96
Arizona,AZ,4,2012,4.3,392.23,170.86,114.68
Arizona,AZ,4,2013,12.16,439.92,191.63,128.63
Arizona,AZ,4,2014,10.34,485.4,211.44,141.93
Arizona,AZ,4,2015,5.63,512.73,223.34,149.92
Arizona,AZ,4,2016,7.02,548.7,239.01,160.43
Arizona,AZ,4,2017,7.52,589.97,256.99,172.5
Arizona,AZ,4,2018,7.76,635.76,276.94,185.89
Arizona,AZ,4,2019,6.81,679.07,295.8,198.55
Arizona,AZ,4,2020,6.54,723.45,315.13,211.53
Arizona,AZ,4,2021,18.98,860.73,374.93,251.67
Arizona,AZ,4,2022,21.52,1045.92,455.6,305.82
Arizona,AZ,4,2023,2.23,1069.25,465.76,312.64
Arkansas,AR,5,1975,.,100,49.22,35.82
Arkansas,AR,5,1976,9.36,109.36,53.82,39.17
Arkansas,AR,5,1977,12.14,122.63,60.36,43.93
Arkansas,AR,5,1978,7.77,132.16,65.04,47.34
Arkansas,AR,5,1979,15.85,153.11,75.35,54.84
Arkansas,AR,5,1980,6.45,162.99,80.22,58.38
Arkansas,AR,5,1981,4.66,170.58,83.95,61.1
Arkansas,AR,5,1982,0.58,171.56,84.44,61.45
Arkansas,AR,5,1983,9.02,187.04,92.05,67
Arkansas,AR,5,1984,2.27,191.29,94.15,68.52
Arkansas,AR,5,1985,1.74,194.62,95.79,69.71
Arkansas,AR,5,1986,3.23,200.91,98.88,71.96
Arkansas,AR,5,1987,1.1,203.12,99.97,72.76
Arkansas,AR,5,1988,-1.22,200.65,98.75,71.87
Arkansas,AR,5,1989,0.28,201.2,99.02,72.07
Arkansas,AR,5,1990,0.99,203.18,100,72.78
Arkansas,AR,5,1991,1.75,206.74,101.75,74.05
Arkansas,AR,5,1992,2.52,211.95,104.32,75.92
Arkansas,AR,5,1993,3.89,220.2,108.38,78.87
Arkansas,AR,5,1994,4.96,231.13,113.76,82.79
Arkansas,AR,5,1995,5.4,243.62,119.9,87.26
Arkansas,AR,5,1996,2.89,250.66,123.37,89.78
Arkansas,AR,5,1997,2.75,257.55,126.76,92.25
Arkansas,AR,5,1998,2.99,265.25,130.55,95.01
Arkansas,AR,5,1999,2.2,271.09,133.42,97.1
Arkansas,AR,5,2000,2.99,279.18,137.4,100
Arkansas,AR,5,2001,4.58,291.97,143.7,104.58
Arkansas,AR,5,2002,2.69,299.82,147.56,107.39
Arkansas,AR,5,2003,2.56,307.5,151.34,110.15
Arkansas,AR,5,2004,5.62,324.77,159.84,116.33
Arkansas,AR,5,2005,7.24,348.27,171.41,124.75
Arkansas,AR,5,2006,5.91,368.85,181.54,132.12
Arkansas,AR,5,2007,2.5,378.07,186.08,135.42
Arkansas,AR,5,2008,-0.5,376.19,185.15,134.75
Arkansas,AR,5,2009,-2,368.65,181.44,132.05
Arkansas,AR,5,2010,-2.92,357.87,176.13,128.19
